symbol,timeframe,direction,entry_time,entry_index,entry,initial_stop,tp1,tp2,tp3,score,reason,size_units,risk_amount,exit_time,exit_index,total_r,pnl_quote,status,exits,asset_class,hold_bars,entry_hour_utc,session
UMAUSDT,4h,long,2024-01-23T04:00:00+00:00,133,6.746349,4.792871428571429,10.649257142857142,13.577449999999999,16.505642857142856,100,"long reclaim above 6.30000000; valid pullback; ICT(6): bull_fvg[129:131]=5.38900000-5.39300000;bull_ob=1.97600000-2.15500000;ote=4.51863000-4.99514000;sellside_sweep=3.93000000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",51.19075921965684,100.0,2024-01-25T04:00:00+00:00,145,-1.0028533109921258,-100.28533109921258,closed,"[{""timestamp"": ""2024-01-25T04:00:00+00:00"", ""price"": 4.791912854285715, ""fraction"": 1.0, ""r_multiple"": -1.0028533109921258, ""reason"": ""stop""}]",crypto,12,4,asia
STORJUSDT,4h,long,2024-01-29T08:00:00+00:00,170,0.6831366,0.6039314285714287,0.8411371428571428,0.9597399999999998,1.0783428571428568,100,"long reclaim above 0.64460000; valid pullback; ICT(6): bull_fvg[150:152]=0.56550000-0.57160000;bull_ob=0.53380000-0.54500000;ote=0.59222300-0.60349400;sellside_sweep=0.52900000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",1249.8823612582587,98.99714668900788,2024-02-28T16:00:00+00:00,352,-1.0080242889594877,-99.79152840020527,closed,"[{""timestamp"": ""2024-02-28T16:00:00+00:00"", ""price"": 0.6038106422857143, ""fraction"": 1.0, ""r_multiple"": -1.0080242889594877, ""reason"": ""stop""}]",crypto,182,8,london
MAGICUSDT,4h,long,2024-01-30T08:00:00+00:00,176,1.2606520799999998,1.1026628571428572,1.5758742857142856,1.8124799999999999,2.049085714285714,100,"long reclaim above 1.17490000; valid pullback; ICT(6): bull_fvg[159:161]=1.09640000-1.11370000;bull_ob=1.01830000-1.04550000;ote=1.10177100-1.12133800;sellside_sweep=1.01210000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",626.6069602641395,98.99714668900788,2024-02-28T16:00:00+00:00,352,-1.0073787965544416,-99.72762649389628,closed,"[{""timestamp"": ""2024-02-28T16:00:00+00:00"", ""price"": 1.1024423245714285, ""fraction"": 1.0, ""r_multiple"": -1.0073787965544416, ""reason"": ""stop""}]",crypto,176,8,london
QNTUSDT,4h,long,2024-03-01T16:00:00+00:00,364,127.02539999999999,108.53,163.94,191.64499999999998,219.35,100,"long reclaim above 119.30000000; valid pullback; ICT(8): bull_fvg[361:363]=114.80000000-115.90000000;bull_ob=102.00000000-115.00000000;ote=105.10800000-107.62400000;sellside_sweep=102.00000000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",5.244653002371775,97.00195514006688,2024-03-05T16:00:00+00:00,388,-1.0062674761075723,-97.60991257629505,closed,"[{""timestamp"": ""2024-03-05T16:00:00+00:00"", ""price"": 108.508294, ""fraction"": 1.0, ""r_multiple"": -1.0062674761075723, ""reason"": ""stop""}]",crypto,24,16,new_york
FLOKIUSDT,4h,long,2024-03-01T16:00:00+00:00,364,8.3926782e-05,5.151664285714286e-05,0.0001486967142857143,0.00019728675,0.00024587678571428575,100,"long reclaim above 0.00006400; valid pullback; ICT(8): bull_fvg[361:363]=0.00005558-0.00005606;bull_ob=0.00004473-0.00004974;ote=0.00004783-0.00005106;sellside_sweep=0.00004242;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",2992950.9007197553,97.00195514006688,2024-03-08T12:00:00+00:00,405,3.3431498700002855,324.29207371628814,closed,"[{""timestamp"": ""2024-03-03T08:00:00+00:00"", ""price"": 0.00014866697494285715, ""fraction"": 0.4, ""r_multiple"": 0.7978633495540245, ""reason"": ""tp1""}, {""timestamp"": ""2024-03-08T08:00:00+00:00"", ""price"": 0.00019724729265000002, ""fraction"": 0.3, ""r_multiple"": 1.0478946775372597, ""reason"": ""tp2""}, {""timestamp"": ""2024-03-08T12:00:00+00:00"", ""price"": 0.0002458276103571429, ""fraction"": 0.30000000000000004, ""r_multiple"": 1.4973918429090014, ""reason"": ""tp3""}]",crypto,41,16,new_york
YFIUSDT,4h,long,2024-03-07T16:00:00+00:00,400,10291.0578,8857.285714285714,13152.428571428572,15300.000000000002,17447.57142857143,100,"long reclaim above 9857.00000000; valid pullback; ICT(8): bull_fvg[390:392]=9419.00000000-9469.00000000;bull_ob=9072.00000000-9519.00000000;ote=9872.49000000-10173.22000000;sellside_sweep=8078.00000000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",0.06697428201530725,96.02585601430393,2024-03-15T08:00:00+00:00,446,-1.0065771164466604,-96.65742925120024,closed,"[{""timestamp"": ""2024-03-15T08:00:00+00:00"", ""price"": 8855.514257142857, ""fraction"": 1.0, ""r_multiple"": -1.0065771164466604, ""reason"": ""stop""}]",crypto,46,16,new_york
CKBUSDT,4h,long,2024-03-08T12:00:00+00:00,405,0.0215933178,0.018143014285714288,0.028480971428571426,0.03364995,0.03881892857142856,100,"long reclaim above 0.02149200; valid pullback; ICT(8): bull_fvg[390:392]=0.01899800-0.02045100;bull_ob=0.01526700-0.01630000;ote=0.01690206-0.01810668;sellside_sweep=0.01541400;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",28771.027343087982,99.2687767514668,2024-03-15T08:00:00+00:00,446,-1.0056579614429444,-99.83043566281485,closed,"[{""timestamp"": ""2024-03-15T08:00:00+00:00"", ""price"": 0.018139385682857147, ""fraction"": 1.0, ""r_multiple"": -1.0056579614429444, ""reason"": ""stop""}]",crypto,41,12,london
JOEUSDT,4h,long,2024-03-16T04:00:00+00:00,451,0.8666733,0.6861671428571428,1.2271657142857146,1.4976650000000005,1.7681642857142865,100,"long reclaim above 0.84010000; valid pullback; ICT(6): bull_fvg[429:431]=0.74200000-0.77050000;bull_ob=0.62170000-0.64240000;ote=0.72361200-0.76053600;sellside_sweep=0.69300000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",539.0613796365841,97.30389810232666,2024-03-20T00:00:00+00:00,474,0.7935676952621159,77.21723015708314,closed,"[{""timestamp"": ""2024-03-18T16:00:00+00:00"", ""price"": 1.2269202811428574, ""fraction"": 0.4, ""r_multiple"": 0.7964482750047233, ""reason"": ""tp1""}, {""timestamp"": ""2024-03-20T00:00:00+00:00"", ""price"": 0.86649996534, ""fraction"": 0.6, ""r_multiple"": -0.0028805797426073552, ""reason"": ""stop""}]",crypto,23,4,asia
AGLDUSDT,4h,long,2024-03-28T04:00:00+00:00,523,1.6923384,1.519692857142857,2.036614285714286,2.2950750000000006,2.553535714285715,100,"long reclaim above 1.65200000; valid pullback; ICT(6): bull_fvg[520:522]=1.59700000-1.60000000;bull_ob=1.36400000-1.39600000;ote=1.46622000-1.49716000;sellside_sweep=1.40300000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",568.0776276109913,98.07607040389749,2024-04-02T08:00:00+00:00,554,-1.0092016826647625,-98.97853528076106,closed,"[{""timestamp"": ""2024-04-02T08:00:00+00:00"", ""price"": 1.5193889185714284, ""fraction"": 1.0, ""r_multiple"": -1.0092016826647625, ""reason"": ""stop""}]",crypto,31,4,asia
YGGUSDT,4h,long,2024-03-25T08:00:00+00:00,506,1.1360271599999998,0.9220878571428571,1.5632242857142855,1.8837924999999998,2.2043607142857136,100,"long reclaim above 1.06600000; valid pullback; ICT(6): bull_fvg[503:505]=0.95360000-0.97650000;bull_ob=0.83400000-0.88250000;ote=0.89584400-0.92583200;sellside_sweep=0.79080000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",458.42941943859415,98.07607040389749,2024-04-12T16:00:00+00:00,616,0.7929370531851294,77.76815025404376,closed,"[{""timestamp"": ""2024-03-31T12:00:00+00:00"", ""price"": 1.5629116408571426, ""fraction"": 0.4, ""r_multiple"": 0.7961228248390244, ""reason"": ""tp1""}, {""timestamp"": ""2024-04-12T16:00:00+00:00"", ""price"": 1.1357999545679998, ""fraction"": 0.6, ""r_multiple"": -0.0031857716538950475, ""reason"": ""stop""}]",crypto,110,8,london
